Description,COMMIT_HASH,COMMIT_DATE,COMMIT_YEAR,VULNERABILITY_CVE,VULNERABILITY_YEAR,VULNERABILITY_CWE,VULNERABILITY_CATEGORY,ID_Class,P_ID,Visibility,Complement,BeginLine,EndLine,NameClass,ID_File,FilePath,Patched,Occurrence,R_ID,Affected,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,ELIGIBLE_FOR_ALERTS,COMMIT_HAS_ALERTS,TOTAL_ALERTS,Flawfinder_chown,Flawfinder_gets,Flawfinder_printf,Flawfinder_strcpy,Flawfinder_access,Flawfinder_sscanf,Flawfinder_syslog,Flawfinder_crypt,Flawfinder_strcat,Flawfinder_fprintf,Flawfinder_execl,Flawfinder_vfprintf,Flawfinder_sprintf,Flawfinder_execv,Flawfinder_ShellExecute,Flawfinder__sntprintf,Flawfinder__tcscpy,Flawfinder__tcscat,Flawfinder_WinExec,Flawfinder_random,Flawfinder_getenv,Flawfinder_chroot,Flawfinder_srand,Flawfinder_LoadLibrary,Flawfinder_EnterCriticalSection,Flawfinder_InitializeCriticalSection,Flawfinder_getopt,Flawfinder_char,Flawfinder_memcpy,Flawfinder_atoi,Flawfinder_atol,Flawfinder_open,Flawfinder_fopen,Flawfinder_tmpfile,Flawfinder_wcscpy,Flawfinder_TCHAR,Flawfinder_strlen,Flawfinder_read,Flawfinder_strncat,Flawfinder_mismatch,Flawfinder_strncpy,Flawfinder_umask,Flawfinder_wcslen,Flawfinder_getc,Flawfinder__tcslen,Flawfinder_readlink,Flawfinder_chmod,Flawfinder_vsnprintf,Flawfinder_snprintf,Flawfinder_vsprintf,Flawfinder_vsscanf,Flawfinder_getlogin,Flawfinder_execvp,Flawfinder_execlp,Flawfinder_fscanf,Flawfinder_popen,Flawfinder_vprintf,Flawfinder_system,Flawfinder_wprintf,Flawfinder_scanf,Flawfinder_realpath,Flawfinder_srandom,Flawfinder_getopt_long,Flawfinder_bcopy,Flawfinder_mkstemp,Flawfinder_vfork,Flawfinder_memalign,Flawfinder_usleep,Flawfinder_getchar,Flawfinder_fgetc,Flawfinder_equal,Flawfinder_vfscanf,Flawfinder_setstate,Flawfinder_tmpnam,Flawfinder_wchar_t,Flawfinder_ulimit,Flawfinder_ssignal,Flawfinder_CopyMemory,Flawfinder_wcscat,Flawfinder__snprintf,Flawfinder_vswprintf,Flawfinder_swprintf,Flawfinder__ftprintf,Flawfinder_lstrcpyW,Flawfinder_crypt_r,Flawfinder_lstrcpy,Flawfinder_lstrcpyA,Flawfinder_fwprintf,Flawfinder__stprintf,Flawfinder__vftprintf,Flawfinder_vfwprintf,Flawfinder__vsntprintf,Flawfinder__vstprintf,Flawfinder__tscanf,Flawfinder_wscanf,Flawfinder_SetThreadToken,Flawfinder_lstrcatW,Flawfinder_getwd,Flawfinder_LoadLibraryEx,Flawfinder_GetTempFileName,Flawfinder_CreateProcess,Flawfinder_lrand48,Flawfinder_AddAccessAllowedAce,Flawfinder_drand48,Flawfinder_curl_getenv,Flawfinder_MultiByteToWideChar,Flawfinder__wtoi,Flawfinder__wtoi64,Flawfinder_wcsncpy,Flawfinder_lstrcpyn,Flawfinder__tcsncpy,Flawfinder_wcsncat,Flawfinder_execle,Flawfinder_nrand48,Flawfinder_lstrcpynA,Flawfinder_getpass,Flawfinder_fwscanf,Flawfinder_vwprintf,Flawfinder_CreateProcessAsUser,Flawfinder_g_get_home_dir,Flawfinder_mktemp,Flawfinder_lstrcat,Flawfinder_g_get_tmp_dir,Flawfinder__mbscat,Flawfinder_lstrcatA,Flawfinder_tempnam,multiclass_label,binary_label,grouped_multiclass_label
2_8c34e2d63231d4bf4852bac8521883944d770fe3_sound/oss/dev_table.h_card_info,8c34e2d63231d4bf4852bac8521883944d770fe3,10/17/2006 17:43,2006,CVE-2008-3833,2008,264,Permission,132573302,ker481p,default,Struct,58,64,card_info,7563102,sound/oss/dev_table.h,0,after,2,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,7,0,7,5,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_101545f6fef4a0a3ea8daf0b5b880df2c6a92a69_arch/parisc/include/asm/compat.h_compat_flock,101545f6fef4a0a3ea8daf0b5b880df2c6a92a69,3/15/2010 21:12,2010,CVE-2010-1084,2010,119,Memory Management,111275902,ker624p,default,Struct,81,87,compat_flock,18107002,arch/parisc/include/asm/compat.h,0,before,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,7,0,7,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_16175a796d061833aacfbd9672235f2d2725df65_arch/x86/kvm/vmx.c_kvm_vmx_segment_field,16175a796d061833aacfbd9672235f2d2725df65,3/23/2009 20:13,2009,CVE-2009-1242,2009,20,Input Validation,72640002,ker790p,default,Struct,145,150,kvm_vmx_segment_field,37648702,arch/x86/kvm/vmx.c,0,before,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_d974baa398f34393db76be45f7d4d04fbdbb4a0a_arch/x86/kvm/vmx.c_kvm_save_segment,d974baa398f34393db76be45f7d4d04fbdbb4a0a,10/8/2014 16:02,2014,CVE-2014-3690,2014,400,Other,227097402,ker111p,public,Struct,484,489,kvm_save_segment,43183202,arch/x86/kvm/vmx.c,0,after,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_a430c9166312e1aa3d80bce32374233bdbfeba32_arch/x86/kvm/emulate.c_group_dual,a430c9166312e1aa3d80bce32374233bdbfeba32,10/23/2014 12:54,2014,CVE-2014-8481,2014,399,Memory Management,227154502,ker88p,default,Struct,217,220,group_dual,48049802,arch/x86/kvm/emulate.c,0,after,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_3d32e4dbe71374a6780eaf51d719d76f9a9bf22f_arch/x86/kvm/emulate.c_escape,3d32e4dbe71374a6780eaf51d719d76f9a9bf22f,10/17/2014 20:55,2014,CVE-2014-8369,2014,119,Memory Management,227155102,ker85p,default,Struct,229,232,escape,70401702,arch/x86/kvm/emulate.c,0,after,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_f3747379accba8e95d70cec0eae0582c8c182050_arch/x86/kvm/emulate.c_group_dual,f3747379accba8e95d70cec0eae0582c8c182050,1/1/2015 21:11,2015,CVE-2015-0239,2015,269,Permission,229499202,ker68p,default,Struct,221,224,group_dual,71179402,arch/x86/kvm/emulate.c,0,before,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_80922bbb12a105f858a8f0abb879cb4302d0ecaa_net/econet/af_econet.c_ec_cb,80922bbb12a105f858a8f0abb879cb4302d0ecaa,8/6/2009 3:48,2009,CVE-2009-3002,2009,200,Data Protection,78971802,ker707p,default,Struct,83,96,ec_cb,73819202,net/econet/af_econet.c,0,before,2,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,14,0,5,3,0,1,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_f8b7256096a20436f6d0926747e3ac3d64c81d24_arch/alpha/kernel/osf_sys.c_itimerval32,f8b7256096a20436f6d0926747e3ac3d64c81d24,11/30/2009 22:37,2009,CVE-2010-0291,2010,264,Permission,85709902,ker663p,default,Struct,821,825,itimerval32,80705602,arch/alpha/kernel/osf_sys.c,0,before,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_2570a4f5428bcdb1077622342181755741e7fa60_net/ipv6/exthdrs.c_tlvtype_proc,2570a4f5428bcdb1077622342181755741e7fa60,1/14/2010 1:27,2010,CVE-2010-0006,2010,476,Memory Management,90017102,ker684p,default,Struct,102,105,tlvtype_proc,82729102,net/ipv6/exthdrs.c,0,before,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
